movieId,imdbId,tmdbId,imdbid2,imdb_url,badentry
1,114709,862,tt0114709,https://www.imdb.com/title/tt0114709,
2,113497,8844,tt0113497,https://www.imdb.com/title/tt0113497,
3,113228,15602,tt0113228,https://www.imdb.com/title/tt0113228,
4,114885,31357,tt0114885,https://www.imdb.com/title/tt0114885,
5,113041,11862,tt0113041,https://www.imdb.com/title/tt0113041,
6,113277,949,tt0113277,https://www.imdb.com/title/tt0113277,
7,114319,11860,tt0114319,https://www.imdb.com/title/tt0114319,
8,112302,45325,tt0112302,https://www.imdb.com/title/tt0112302,
9,114576,9091,tt0114576,https://www.imdb.com/title/tt0114576,
10,113189,710,tt0113189,https://www.imdb.com/title/tt0113189,
11,112346,9087,tt0112346,https://www.imdb.com/title/tt0112346,
12,112896,12110,tt0112896,https://www.imdb.com/title/tt0112896,
13,112453,21032,tt0112453,https://www.imdb.com/title/tt0112453,
14,113987,10858,tt0113987,https://www.imdb.com/title/tt0113987,
15,112760,1408,tt0112760,https://www.imdb.com/title/tt0112760,
16,112641,524,tt0112641,https://www.imdb.com/title/tt0112641,
17,114388,4584,tt0114388,https://www.imdb.com/title/tt0114388,
18,113101,5,tt0113101,https://www.imdb.com/title/tt0113101,
19,112281,9273,tt0112281,https://www.imdb.com/title/tt0112281,
20,113845,11517,tt0113845,https://www.imdb.com/title/tt0113845,
21,113161,8012,tt0113161,https://www.imdb.com/title/tt0113161,
22,112722,1710,tt0112722,https://www.imdb.com/title/tt0112722,
23,112401,9691,tt0112401,https://www.imdb.com/title/tt0112401,
24,114168,12665,tt0114168,https://www.imdb.com/title/tt0114168,
25,113627,451,tt0113627,https://www.imdb.com/title/tt0113627,
26,114057,16420,tt0114057,https://www.imdb.com/title/tt0114057,
27,114011,9263,tt0114011,https://www.imdb.com/title/tt0114011,
28,114117,17015,tt0114117,https://www.imdb.com/title/tt0114117,x
29,112682,902,tt0112682,https://www.imdb.com/title/tt0112682,
30,115012,37557,tt0115012,https://www.imdb.com/title/tt0115012,
31,112792,9909,tt0112792,https://www.imdb.com/title/tt0112792,
32,114746,63,tt0114746,https://www.imdb.com/title/tt0114746,
34,112431,9598,tt0112431,https://www.imdb.com/title/tt0112431,
36,112818,687,tt0112818,https://www.imdb.com/title/tt0112818,
38,113442,33689,tt0113442,https://www.imdb.com/title/tt0113442,
39,112697,9603,tt0112697,https://www.imdb.com/title/tt0112697,
40,112749,34615,tt0112749,https://www.imdb.com/title/tt0112749,
41,114279,31174,tt0114279,https://www.imdb.com/title/tt0114279,
42,112819,11443,tt0112819,https://www.imdb.com/title/tt0112819,
43,114272,35196,tt0114272,https://www.imdb.com/title/tt0114272,
44,113855,9312,tt0113855,https://www.imdb.com/title/tt0113855,
45,114681,577,tt0114681,https://www.imdb.com/title/tt0114681,
46,113347,11861,tt0113347,https://www.imdb.com/title/tt0113347,
47,114369,807,tt0114369,https://www.imdb.com/title/tt0114369,
48,114148,10530,tt0114148,https://www.imdb.com/title/tt0114148,
49,114916,8391,tt0114916,https://www.imdb.com/title/tt0114916,
50,114814,629,tt0114814,https://www.imdb.com/title/tt0114814,
52,113819,11448,tt0113819,https://www.imdb.com/title/tt0113819,
53,110299,49133,tt0110299,https://www.imdb.com/title/tt0110299,
54,112499,26441,tt0112499,https://www.imdb.com/title/tt0112499,
55,113158,97406,tt0113158,https://www.imdb.com/title/tt0113158,
57,113321,9089,tt0113321,https://www.imdb.com/title/tt0113321,
58,110877,11010,tt0110877,https://www.imdb.com/title/tt0110877,
60,113419,11359,tt0113419,https://www.imdb.com/title/tt0113419,
61,116260,17182,tt0116260,https://www.imdb.com/title/tt0116260,
62,113862,2054,tt0113862,https://www.imdb.com/title/tt0113862,
63,116126,10607,tt0116126,https://www.imdb.com/title/tt0116126,
64,118002,19760,tt0118002,https://www.imdb.com/title/tt0118002,
65,115683,9536,tt0115683,https://www.imdb.com/title/tt0115683,
66,116839,11525,tt0116839,https://www.imdb.com/title/tt0116839,
68,113149,4482,tt0113149,https://www.imdb.com/title/tt0113149,
69,113118,10634,tt0113118,https://www.imdb.com/title/tt0113118,
70,116367,755,tt0116367,https://www.imdb.com/title/tt0116367,
71,113010,11859,tt0113010,https://www.imdb.com/title/tt0113010,
72,113537,28387,tt0113537,https://www.imdb.com/title/tt0113537,
73,113828,48750,tt0113828,https://www.imdb.com/title/tt0113828,
74,115644,20927,tt0115644,https://www.imdb.com/title/tt0115644,
75,115676,36929,tt0115676,https://www.imdb.com/title/tt0115676,
76,114367,9102,tt0114367,https://www.imdb.com/title/tt0114367,
77,113973,124626,tt0113973,https://www.imdb.com/title/tt0113973,
78,112744,27526,tt0112744,https://www.imdb.com/title/tt0112744,
79,116731,9623,tt0116731,https://www.imdb.com/title/tt0116731,
80,112445,46785,tt0112445,https://www.imdb.com/title/tt0112445,
81,114660,400,tt0114660,https://www.imdb.com/title/tt0114660,
82,112379,880,tt0112379,https://www.imdb.com/title/tt0112379,
83,114039,146599,tt0114039,https://www.imdb.com/title/tt0114039,
85,112365,8447,tt0112365,https://www.imdb.com/title/tt0112365,
86,118158,10534,tt0118158,https://www.imdb.com/title/tt0118158,
